"","Date","Volume (BTC)","Volume (Currency)","Weighted Price"
"1",2014-10-20,12081.79942479,4614453.8341121,381.93431887672
"2",2014-10-19,3242.37367978,1262682.9535232,389.43165662782
"3",2014-10-18,7074.8254279,2746148.3091709,388.15774850661
"4",2014-10-17,10507.82628734,3989422.0045417,379.66196770384
"5",2014-10-16,22776.51542094,8706162.3358752,382.24294519921
"6",2014-10-15,19147.69042041,7537826.8116285,393.66767720424
"7",2014-10-14,24822.16245713,10060958.358894,405.32159018254
"8",2014-10-13,26083.74635605,10034403.054294,384.69945679283
"9",2014-10-12,14250.47171152,5236990.6329473,367.49594953505
"10",2014-10-11,9973.2687058,3594481.7007434,360.41159691738
"11",2014-10-10,20543.27563738,7440721.9533641,362.19744527134
"12",2014-10-09,47817.25004767,17652425.760088,369.1643861261
"13",2014-10-08,28614.8310651,9820002.2810776,343.1787613471
"14",2014-10-07,22961.89001301,7504310.0276696,326.81586852901
"15",2014-10-06,69537.66216756,21937271.108407,315.47323313148
"16",2014-10-05,61726.3716087,18876496.112647,305.80926143383
"17",2014-10-04,28981.80406599,9853710.2788114,339.99644247042
"18",2014-10-03,20408.97505396,7433824.4778396,364.24291068929
"19",2014-10-02,10414.19712293,3931402.9368125,377.5041791898
"20",2014-10-01,13037.59844952,5010051.9150718,384.27720676245
"21",2014-09-30,14289.95929522,5491849.4905261,384.31526480017
"22",2014-09-29,20026.50713044,7549530.1057314,376.97687652463
"23",2014-09-28,16139.76492826,6202488.2202045,384.29854757946
"24",2014-09-27,5472.59979258,2200884.4499305,402.16433383536
"25",2014-09-26,9921.11699487,4017440.7400276,404.93834939201
"26",2014-09-25,15016.869054,6175837.4245814,411.25999050621
"27",2014-09-24,14141.19892519,6065026.3042201,428.89053016688
"28",2014-09-23,26999.29385,11528951.840737,427.00938420049
"29",2014-09-22,10803.01757962,4343178.861871,402.03386043398
"30",2014-09-21,14182.71565192,5699758.8794926,401.88064256375
